aho_corasick::ahocorasick::AhoCorasick	try_find	-	fn try_find<'h, I: Into<Input<'h>>>(&self, input: I) -> Result<Option<Match>, MatchError>	Returns the location of the first match according to the match semantics that this automaton was constructed with, and according to the given `Input` configuration.
aho_corasick::ahocorasick::AhoCorasick	try_find_iter	-	fn try_find_iter<'a, 'h, I: Into<Input<'h>>>(&'a self, input: I) -> Result<FindIter<'a, 'h>, MatchError>	Returns an iterator of non-overlapping matches, using the match semantics that this automaton was constructed with.
aho_corasick::ahocorasick::AhoCorasick	try_find_overlapping	-	fn try_find_overlapping<'h, I: Into<Input<'h>>>(&self, input: I, state: &mut OverlappingState) -> Result<(), MatchError>	Returns the location of the first overlapping match in the given input with respect to the current state of the underlying searcher.
aho_corasick::ahocorasick::AhoCorasick	try_find_overlapping_iter	-	fn try_find_overlapping_iter<'a, 'h, I: Into<Input<'h>>>(&'a self, input: I) -> Result<FindOverlappingIter<'a, 'h>, MatchError>	Returns an iterator of overlapping matches.
aho_corasick::ahocorasick::AhoCorasick	try_replace_all	-	fn try_replace_all<B>(&self, haystack: &str, replace_with: &[B]) -> Result<String, MatchError> where B: AsRef<str>	Replace all matches with a corresponding value in the `replace_with` slice given. Matches correspond to the same matches as reported by [`AhoCorasick::try_find_iter`].
aho_corasick::ahocorasick::AhoCorasick	try_replace_all_bytes	-	fn try_replace_all_bytes<B>(&self, haystack: &[u8], replace_with: &[B]) -> Result<Vec<u8>, MatchError> where B: AsRef<[u8]>	Replace all matches using raw bytes with a corresponding value in the `replace_with` slice given. Matches correspond to the same matches as reported by [`AhoCorasick::try_find_iter`].
aho_corasick::ahocorasick::AhoCorasick	try_replace_all_with	-	fn try_replace_all_with<F>(&self, haystack: &str, dst: &mut String, replace_with: F) -> Result<(), MatchError> where F: FnMut(&Match, &str, &mut String) -> bool	Replace all matches using a closure called on each match. Matches correspond to the same matches as reported by [`AhoCorasick::try_find_iter`].
aho_corasick::ahocorasick::AhoCorasick	try_replace_all_with_bytes	-	fn try_replace_all_with_bytes<F>(&self, haystack: &[u8], dst: &mut Vec<u8>, replace_with: F) -> Result<(), MatchError> where F: FnMut(&Match, &[u8], &mut Vec<u8>) -> bool	Replace all matches using raw bytes with a closure called on each match. Matches correspond to the same matches as reported by [`AhoCorasick::try_find_iter`].
aho_corasick::ahocorasick::AhoCorasick	try_stream_find_iter	-	fn try_stream_find_iter<'a, R: std::io::Read>(&'a self, rdr: R) -> Result<StreamFindIter<'a, R>, MatchError>	Returns an iterator of non-overlapping matches in the given stream. Matches correspond to the same matches as reported by [`AhoCorasick::try_find_iter`].
aho_corasick::ahocorasick::AhoCorasick	try_stream_replace_all	-	fn try_stream_replace_all<R, W, B>(&self, rdr: R, wtr: W, replace_with: &[B]) -> Result<(), std::io::Error> where R: std::io::Read, W: std::io::Write, B: AsRef<[u8]>	Search for and replace all matches of this automaton in the given reader, and write the replacements to the given writer. Matches correspond to the same matches as reported by [`AhoCorasick::try_find_iter`].
aho_corasick::ahocorasick::AhoCorasick	try_stream_replace_all_with	-	fn try_stream_replace_all_with<R, W, F>(&self, rdr: R, wtr: W, replace_with: F) -> Result<(), std::io::Error> where R: std::io::Read, W: std::io::Write, F: FnMut(&Match, &[u8], &mut W) -> Result<(), std::io::Error>	Search the given reader and replace all matches of this automaton using the given closure. The result is written to the given writer. Matches correspond to the same matches as reported by [`AhoCorasick::try_find_iter`].
aho_corasick::ahocorasick::AhoCorasickBuilder	ascii_case_insensitive	-	fn ascii_case_insensitive(&mut self, yes: bool) -> &mut AhoCorasickBuilder	Enable ASCII-aware case insensitive matching.
aho_corasick::ahocorasick::AhoCorasickBuilder	build	-	fn build<I, P>(&self, patterns: I) -> Result<AhoCorasick, BuildError> where I: IntoIterator<Item = P>, P: AsRef<[u8]>	Build an Aho-Corasick automaton using the configuration set on this builder.
aho_corasick::ahocorasick::AhoCorasickBuilder	byte_classes	-	fn byte_classes(&mut self, yes: bool) -> &mut AhoCorasickBuilder	A debug settting for whether to attempt to shrink the size of the automaton's alphabet or not.
aho_corasick::ahocorasick::AhoCorasickBuilder	clone	core::clone::Clone	fn clone(&self) -> AhoCorasickBuilder	
aho_corasick::ahocorasick::AhoCorasickBuilder	default	core::default::Default	fn default() -> AhoCorasickBuilder	
aho_corasick::ahocorasick::AhoCorasickBuilder	dense_depth	-	fn dense_depth(&mut self, depth: usize) -> &mut AhoCorasickBuilder	Set the limit on how many states use a dense representation for their transitions. Other states will generally use a sparse representation.
aho_corasick::ahocorasick::AhoCorasickBuilder	fmt	core::fmt::Debug	fn fmt(&self, f: &mut fmt::Formatter<'_>) -> fmt::Result	
aho_corasick::ahocorasick::AhoCorasickBuilder	kind	-	fn kind(&mut self, kind: Option<AhoCorasickKind>) -> &mut AhoCorasickBuilder	Choose the type of underlying automaton to use.
aho_corasick::ahocorasick::AhoCorasickBuilder	match_kind	-	fn match_kind(&mut self, kind: MatchKind) -> &mut AhoCorasickBuilder	Set the desired match semantics.
aho_corasick::ahocorasick::AhoCorasickBuilder	new	-	fn new() -> AhoCorasickBuilder	Create a new builder for configuring an Aho-Corasick automaton.
aho_corasick::ahocorasick::AhoCorasickBuilder	prefilter	-	fn prefilter(&mut self, yes: bool) -> &mut AhoCorasickBuilder	Enable heuristic prefilter optimizations.
aho_corasick::ahocorasick::AhoCorasickBuilder	start_kind	-	fn start_kind(&mut self, kind: StartKind) -> &mut AhoCorasickBuilder	Sets the starting state configuration for the automaton.
aho_corasick::ahocorasick::AhoCorasickKind	clone	core::clone::Clone	fn clone(&self) -> AhoCorasickKind	
aho_corasick::ahocorasick::AhoCorasickKind	eq	core::cmp::PartialEq	fn eq(&self, other: &AhoCorasickKind) -> bool	
aho_corasick::ahocorasick::AhoCorasickKind	fmt	core::fmt::Debug	fn fmt(&self, f: &mut fmt::Formatter<'_>) -> fmt::Result	
aho_corasick::ahocorasick::FindIter	fmt	core::fmt::Debug	fn fmt(&self, f: &mut fmt::Formatter<'_>) -> fmt::Result	
aho_corasick::ahocorasick::FindIter	next	core::iter::traits::iterator::Iterator	fn next(&mut self) -> Option<Match>	
aho_corasick::ahocorasick::FindOverlappingIter	fmt	core::fmt::Debug	fn fmt(&self, f: &mut fmt::Formatter<'_>) -> fmt::Result	
aho_corasick::ahocorasick::FindOverlappingIter	next	core::iter::traits::iterator::Iterator	fn next(&mut self) -> Option<Match>	
aho_corasick::ahocorasick::StreamFindIter	fmt	core::fmt::Debug	fn fmt(&self, f: &mut fmt::Formatter<'_>) -> fmt::Result	
aho_corasick::ahocorasick::StreamFindIter	next	core::iter::traits::iterator::Iterator	fn next(&mut self) -> Option<Result<Match, std::io::Error>>	
aho_corasick::automaton::Automaton	is_dead	-	fn is_dead(&self, sid: StateID) -> bool	Returns true if the given ID represents a dead state.
aho_corasick::automaton::Automaton	is_match	-	fn is_match(&self, sid: StateID) -> bool	Returns true if the given ID represents a match state.
aho_corasick::automaton::Automaton	is_special	-	fn is_special(&self, sid: StateID) -> bool	Returns true if the given ID represents a "special" state. A special state is a dead, match or start state.
aho_corasick::automaton::Automaton	is_start	-	fn is_start(&self, sid: StateID) -> bool	Returns true if the given ID represents a start state.
aho_corasick::automaton::Automaton	match_kind	-	fn match_kind(&self) -> MatchKind	Returns the match semantics that this automaton was built with.
aho_corasick::automaton::Automaton	match_len	-	fn match_len(&self, sid: StateID) -> usize	Returns the total number of matches for the given state ID.
aho_corasick::automaton::Automaton	match_pattern	-	fn match_pattern(&self, sid: StateID, index: usize) -> PatternID	Returns the pattern ID for the match state given by `sid` at the `index` given.
aho_corasick::automaton::Automaton	max_pattern_len	-	fn max_pattern_len(&self) -> usize	Returns the length, in bytes, of the longest pattern in this automaton.
aho_corasick::automaton::Automaton	memory_usage	-	fn memory_usage(&self) -> usize	Returns the heap memory usage, in bytes, used by this automaton.
aho_corasick::automaton::Automaton	min_pattern_len	-	fn min_pattern_len(&self) -> usize	Returns the length, in bytes, of the shortest pattern in this automaton.
aho_corasick::automaton::Automaton	next_state	-	fn next_state(&self, anchored: Anchored, sid: StateID, byte: u8) -> StateID	Performs a state transition from `sid` for `byte` and returns the next state.
aho_corasick::automaton::Automaton	pattern_len	-	fn pattern_len(&self, pid: PatternID) -> usize	Returns the length of the pattern for the given ID.
aho_corasick::automaton::Automaton	patterns_len	-	fn patterns_len(&self) -> usize	Returns the total number of patterns compiled into this automaton.
aho_corasick::automaton::Automaton	prefilter	-	fn prefilter(&self) -> Option<&Prefilter>	Returns a prefilter, if available, that can be used to accelerate searches for this automaton.
aho_corasick::automaton::Automaton	start_state	-	fn start_state(&self, anchored: Anchored) -> Result<StateID, MatchError>	Returns the starting state for the given anchor mode.
aho_corasick::automaton::Automaton	try_find	-	fn try_find(&self, input: &Input<'_>) -> Result<Option<Match>, MatchError>	Executes a non-overlapping search with this automaton using the given configuration.
aho_corasick::automaton::Automaton	try_find_iter	-	fn try_find_iter<'a, 'h>(&'a self, input: Input<'h>) -> Result<FindIter<'a, 'h, Self>, MatchError> where Self: Sized	Returns an iterator of non-overlapping matches with this automaton using the given configuration.
aho_corasick::automaton::Automaton	try_find_overlapping	-	fn try_find_overlapping(&self, input: &Input<'_>, state: &mut OverlappingState) -> Result<(), MatchError>	Executes a overlapping search with this automaton using the given configuration.
aho_corasick::automaton::Automaton	try_find_overlapping_iter	-	fn try_find_overlapping_iter<'a, 'h>(&'a self, input: Input<'h>) -> Result<FindOverlappingIter<'a, 'h, Self>, MatchError> where Self: Sized	Returns an iterator of overlapping matches with this automaton using the given configuration.
aho_corasick::automaton::Automaton	try_replace_all	-	fn try_replace_all<B>(&self, haystack: &str, replace_with: &[B]) -> Result<String, MatchError> where Self: Sized, B: AsRef<str>	Replaces all non-overlapping matches in `haystack` with strings from `replace_with` depending on the pattern that matched. The `replace_with` slice must have length equal to `Automaton::patterns_len`.
aho_corasick::automaton::Automaton	try_replace_all_bytes	-	fn try_replace_all_bytes<B>(&self, haystack: &[u8], replace_with: &[B]) -> Result<Vec<u8>, MatchError> where Self: Sized, B: AsRef<[u8]>	Replaces all non-overlapping matches in `haystack` with strings from `replace_with` depending on the pattern that matched. The `replace_with` slice must have length equal to `Automaton::patterns_len`.
aho_corasick::automaton::Automaton	try_replace_all_with	-	fn try_replace_all_with<F>(&self, haystack: &str, dst: &mut String, replace_with: F) -> Result<(), MatchError> where Self: Sized, F: FnMut(&Match, &str, &mut String) -> bool	Replaces all non-overlapping matches in `haystack` by calling the `replace_with` closure given.
aho_corasick::automaton::Automaton	try_replace_all_with_bytes	-	fn try_replace_all_with_bytes<F>(&self, haystack: &[u8], dst: &mut Vec<u8>, replace_with: F) -> Result<(), MatchError> where Self: Sized, F: FnMut(&Match, &[u8], &mut Vec<u8>) -> bool	Replaces all non-overlapping matches in `haystack` by calling the `replace_with` closure given.
aho_corasick::automaton::Automaton	try_stream_find_iter	-	fn try_stream_find_iter<'a, R: std::io::Read>(&'a self, rdr: R) -> Result<StreamFindIter<'a, Self, R>, MatchError> where Self: Sized	Returns an iterator of non-overlapping matches with this automaton from the stream given.
aho_corasick::automaton::Automaton	try_stream_replace_all	-	fn try_stream_replace_all<R, W, B>(&self, rdr: R, wtr: W, replace_with: &[B]) -> std::io::Result<()> where Self: Sized, R: std::io::Read, W: std::io::Write, B: AsRef<[u8]>	Replaces all non-overlapping matches in `rdr` with strings from `replace_with` depending on the pattern that matched, and writes the result to `wtr`. The `replace_with` slice must have length equal to `Automaton::patterns_len`.
aho_corasick::automaton::Automaton	try_stream_replace_all_with	-	fn try_stream_replace_all_with<R, W, F>(&self, rdr: R, wtr: W, replace_with: F) -> std::io::Result<()> where Self: Sized, R: std::io::Read, W: std::io::Write, F: FnMut(&Match, &[u8], &mut W) -> std::io::Result<()>	Replaces all non-overlapping matches in `rdr` by calling the `replace_with` closure given and writing the result to `wtr`.
aho_corasick::automaton::FindIter	fmt	core::fmt::Debug	fn fmt(&self, f: &mut fmt::Formatter<'_>) -> fmt::Result	
aho_corasick::automaton::FindIter	next	core::iter::traits::iterator::Iterator	fn next(&mut self) -> Option<Match>	
aho_corasick::automaton::FindOverlappingIter	fmt	core::fmt::Debug	fn fmt(&self, f: &mut fmt::Formatter<'_>) -> fmt::Result	
aho_corasick::automaton::FindOverlappingIter	next	core::iter::traits::iterator::Iterator	fn next(&mut self) -> Option<Match>	
aho_corasick::automaton::OverlappingState	clone	core::clone::Clone	fn clone(&self) -> OverlappingState	
aho_corasick::automaton::OverlappingState	fmt	core::fmt::Debug	fn fmt(&self, f: &mut fmt::Formatter<'_>) -> fmt::Result	
aho_corasick::automaton::OverlappingState	get_match	-	fn get_match(&self) -> Option<Match>	Return the match result of the most recent search to execute with this state.
aho_corasick::automaton::OverlappingState	start	-	fn start() -> OverlappingState	Create a new overlapping state that begins at the start state.
aho_corasick::automaton::StreamFindIter	fmt	core::fmt::Debug	fn fmt(&self, f: &mut fmt::Formatter<'_>) -> fmt::Result	
aho_corasick::automaton::StreamFindIter	next	core::iter::traits::iterator::Iterator	fn next(&mut self) -> Option<std::io::Result<Match>>	
aho_corasick::dfa::Builder	ascii_case_insensitive	-	fn ascii_case_insensitive(&mut self, yes: bool) -> &mut Builder	Enable ASCII-aware case insensitive matching.
aho_corasick::dfa::Builder	build	-	fn build<I, P>(&self, patterns: I) -> Result<DFA, BuildError> where I: IntoIterator<Item = P>, P: AsRef<[u8]>	Build an Aho-Corasick DFA from the given iterator of patterns.
aho_corasick::dfa::Builder	build_from_noncontiguous	-	fn build_from_noncontiguous(&self, nnfa: &noncontiguous::NFA) -> Result<DFA, BuildError>	Build an Aho-Corasick DFA from the given noncontiguous NFA.
aho_corasick::dfa::Builder	byte_classes	-	fn byte_classes(&mut self, yes: bool) -> &mut Builder	A debug setting for whether to attempt to shrink the size of the automaton's alphabet or not.
aho_corasick::dfa::Builder	clone	core::clone::Clone	fn clone(&self) -> Builder	
aho_corasick::dfa::Builder	default	core::default::Default	fn default() -> Builder	
aho_corasick::dfa::Builder	fmt	core::fmt::Debug	fn fmt(&self, f: &mut fmt::Formatter<'_>) -> fmt::Result	
aho_corasick::dfa::Builder	match_kind	-	fn match_kind(&mut self, kind: MatchKind) -> &mut Builder	Set the desired match semantics.
aho_corasick::dfa::Builder	new	-	fn new() -> Builder	Create a new builder for configuring an Aho-Corasick DFA.
aho_corasick::dfa::Builder	prefilter	-	fn prefilter(&mut self, yes: bool) -> &mut Builder	Enable heuristic prefilter optimizations.
aho_corasick::dfa::Builder	start_kind	-	fn start_kind(&mut self, kind: StartKind) -> &mut Builder	Sets the starting state configuration for the automaton.
aho_corasick::dfa::DFA	builder	-	fn builder() -> Builder	A convenience method for returning a new Aho-Corasick DFA builder.
aho_corasick::dfa::DFA	clone	core::clone::Clone	fn clone(&self) -> DFA	
aho_corasick::dfa::DFA	fmt	core::fmt::Debug	fn fmt(&self, f: &mut core::fmt::Formatter<'_>) -> core::fmt::Result	
aho_corasick::dfa::DFA	is_dead	aho_corasick::automaton::Automaton	fn is_dead(&self, sid: StateID) -> bool	
aho_corasick::dfa::DFA	is_match	aho_corasick::automaton::Automaton	fn is_match(&self, sid: StateID) -> bool	
aho_corasick::dfa::DFA	is_special	aho_corasick::automaton::Automaton	fn is_special(&self, sid: StateID) -> bool	
aho_corasick::dfa::DFA	is_start	aho_corasick::automaton::Automaton	fn is_start(&self, sid: StateID) -> bool	
aho_corasick::dfa::DFA	match_kind	aho_corasick::automaton::Automaton	fn match_kind(&self) -> MatchKind	
aho_corasick::dfa::DFA	match_len	aho_corasick::automaton::Automaton	fn match_len(&self, sid: StateID) -> usize	
aho_corasick::dfa::DFA	match_pattern	aho_corasick::automaton::Automaton	fn match_pattern(&self, sid: StateID, index: usize) -> PatternID	
aho_corasick::dfa::DFA	max_pattern_len	aho_corasick::automaton::Automaton	fn max_pattern_len(&self) -> usize	
aho_corasick::dfa::DFA	memory_usage	aho_corasick::automaton::Automaton	fn memory_usage(&self) -> usize	
aho_corasick::dfa::DFA	min_pattern_len	aho_corasick::automaton::Automaton	fn min_pattern_len(&self) -> usize	
aho_corasick::dfa::DFA	new	-	fn new<I, P>(patterns: I) -> Result<DFA, BuildError> where I: IntoIterator<Item = P>, P: AsRef<[u8]>	Create a new Aho-Corasick DFA using the default configuration.
aho_corasick::dfa::DFA	next_state	aho_corasick::automaton::Automaton	fn next_state(&self, _anchored: Anchored, sid: StateID, byte: u8) -> StateID	
aho_corasick::dfa::DFA	pattern_len	aho_corasick::automaton::Automaton	fn pattern_len(&self, pid: PatternID) -> usize	
aho_corasick::dfa::DFA	patterns_len	aho_corasick::automaton::Automaton	fn patterns_len(&self) -> usize	
aho_corasick::dfa::DFA	prefilter	aho_corasick::automaton::Automaton	fn prefilter(&self) -> Option<&Prefilter>	
aho_corasick::dfa::DFA	start_state	aho_corasick::automaton::Automaton	fn start_state(&self, anchored: Anchored) -> Result<StateID, MatchError>	
aho_corasick::nfa::contiguous::Builder	ascii_case_insensitive	-	fn ascii_case_insensitive(&mut self, yes: bool) -> &mut Builder	Enable ASCII-aware case insensitive matching.
aho_corasick::nfa::contiguous::Builder	build	-	fn build<I, P>(&self, patterns: I) -> Result<NFA, BuildError> where I: IntoIterator<Item = P>, P: AsRef<[u8]>	Build an Aho-Corasick contiguous NFA from the given iterator of patterns.
aho_corasick::nfa::contiguous::Builder	build_from_noncontiguous	-	fn build_from_noncontiguous(&self, nnfa: &noncontiguous::NFA) -> Result<NFA, BuildError>	Build an Aho-Corasick contiguous NFA from the given noncontiguous NFA.
aho_corasick::nfa::contiguous::Builder	byte_classes	-	fn byte_classes(&mut self, yes: bool) -> &mut Builder	A debug setting for whether to attempt to shrink the size of the automaton's alphabet or not.
aho_corasick::nfa::contiguous::Builder	clone	core::clone::Clone	fn clone(&self) -> Builder	
aho_corasick::nfa::contiguous::Builder	default	core::default::Default	fn default() -> Builder	
aho_corasick::nfa::contiguous::Builder	dense_depth	-	fn dense_depth(&mut self, depth: usize) -> &mut Builder	Set the limit on how many states use a dense representation for their transitions. Other states will generally use a sparse representation.
aho_corasick::nfa::contiguous::Builder	fmt	core::fmt::Debug	fn fmt(&self, f: &mut fmt::Formatter<'_>) -> fmt::Result	
aho_corasick::nfa::contiguous::Builder	match_kind	-	fn match_kind(&mut self, kind: MatchKind) -> &mut Builder	Set the desired match semantics.
aho_corasick::nfa::contiguous::Builder	new	-	fn new() -> Builder	Create a new builder for configuring an Aho-Corasick contiguous NFA.
aho_corasick::nfa::contiguous::Builder	prefilter	-	fn prefilter(&mut self, yes: bool) -> &mut Builder	Enable heuristic prefilter optimizations.
aho_corasick::nfa::contiguous::NFA	builder	-	fn builder() -> Builder	A convenience method for returning a new Aho-Corasick contiguous NFA builder.
aho_corasick::nfa::contiguous::NFA	clone	core::clone::Clone	fn clone(&self) -> NFA	
aho_corasick::nfa::contiguous::NFA	fmt	core::fmt::Debug	fn fmt(&self, f: &mut core::fmt::Formatter<'_>) -> core::fmt::Result	
aho_corasick::nfa::contiguous::NFA	is_dead	aho_corasick::automaton::Automaton	fn is_dead(&self, sid: StateID) -> bool	
aho_corasick::nfa::contiguous::NFA	is_match	aho_corasick::automaton::Automaton	fn is_match(&self, sid: StateID) -> bool	
aho_corasick::nfa::contiguous::NFA	is_special	aho_corasick::automaton::Automaton	fn is_special(&self, sid: StateID) -> bool	
aho_corasick::nfa::contiguous::NFA	is_start	aho_corasick::automaton::Automaton	fn is_start(&self, sid: StateID) -> bool	
aho_corasick::nfa::contiguous::NFA	match_kind	aho_corasick::automaton::Automaton	fn match_kind(&self) -> MatchKind	
aho_corasick::nfa::contiguous::NFA	match_len	aho_corasick::automaton::Automaton	fn match_len(&self, sid: StateID) -> usize	
aho_corasick::nfa::contiguous::NFA	match_pattern	aho_corasick::automaton::Automaton	fn match_pattern(&self, sid: StateID, index: usize) -> PatternID	
aho_corasick::nfa::contiguous::NFA	max_pattern_len	aho_corasick::automaton::Automaton	fn max_pattern_len(&self) -> usize	
aho_corasick::nfa::contiguous::NFA	memory_usage	aho_corasick::automaton::Automaton	fn memory_usage(&self) -> usize	
aho_corasick::nfa::contiguous::NFA	min_pattern_len	aho_corasick::automaton::Automaton	fn min_pattern_len(&self) -> usize	
aho_corasick::nfa::contiguous::NFA	new	-	fn new<I, P>(patterns: I) -> Result<NFA, BuildError> where I: IntoIterator<Item = P>, P: AsRef<[u8]>	Create a new Aho-Corasick contiguous NFA using the default configuration.
aho_corasick::nfa::contiguous::NFA	next_state	aho_corasick::automaton::Automaton	fn next_state(&self, anchored: Anchored, sid: StateID, byte: u8) -> StateID	
aho_corasick::nfa::contiguous::NFA	pattern_len	aho_corasick::automaton::Automaton	fn pattern_len(&self, pid: PatternID) -> usize	
aho_corasick::nfa::contiguous::NFA	patterns_len	aho_corasick::automaton::Automaton	fn patterns_len(&self) -> usize	
aho_corasick::nfa::contiguous::NFA	prefilter	aho_corasick::automaton::Automaton	fn prefilter(&self) -> Option<&Prefilter>	
aho_corasick::nfa::contiguous::NFA	start_state	aho_corasick::automaton::Automaton	fn start_state(&self, anchored: Anchored) -> Result<StateID, MatchError>	
aho_corasick::nfa::noncontiguous::Builder	ascii_case_insensitive	-	fn ascii_case_insensitive(&mut self, yes: bool) -> &mut Builder	Enable ASCII-aware case insensitive matching.
aho_corasick::nfa::noncontiguous::Builder	build	-	fn build<I, P>(&self, patterns: I) -> Result<NFA, BuildError> where I: IntoIterator<Item = P>, P: AsRef<[u8]>	Build an Aho-Corasick noncontiguous NFA from the given iterator of patterns.
aho_corasick::nfa::noncontiguous::Builder	clone	core::clone::Clone	fn clone(&self) -> Builder	
aho_corasick::nfa::noncontiguous::Builder	default	core::default::Default	fn default() -> Builder	
aho_corasick::nfa::noncontiguous::Builder	dense_depth	-	fn dense_depth(&mut self, depth: usize) -> &mut Builder	Set the limit on how many states use a dense representation for their transitions. Other states will generally use a sparse representation.
aho_corasick::nfa::noncontiguous::Builder	fmt	core::fmt::Debug	fn fmt(&self, f: &mut fmt::Formatter<'_>) -> fmt::Result	
aho_corasick::nfa::noncontiguous::Builder	match_kind	-	fn match_kind(&mut self, kind: MatchKind) -> &mut Builder	Set the desired match semantics.
aho_corasick::nfa::noncontiguous::Builder	new	-	fn new() -> Builder	Create a new builder for configuring an Aho-Corasick noncontiguous NFA.
aho_corasick::nfa::noncontiguous::Builder	prefilter	-	fn prefilter(&mut self, yes: bool) -> &mut Builder	Enable heuristic prefilter optimizations.
aho_corasick::nfa::noncontiguous::NFA	builder	-	fn builder() -> Builder	A convenience method for returning a new Aho-Corasick noncontiguous NFA builder.
aho_corasick::nfa::noncontiguous::NFA	clone	core::clone::Clone	fn clone(&self) -> NFA	
aho_corasick::nfa::noncontiguous::NFA	fmt	core::fmt::Debug	fn fmt(&self, f: &mut core::fmt::Formatter<'_>) -> core::fmt::Result	
aho_corasick::nfa::noncontiguous::NFA	is_dead	aho_corasick::automaton::Automaton	fn is_dead(&self, sid: StateID) -> bool	
aho_corasick::nfa::noncontiguous::NFA	is_match	aho_corasick::automaton::Automaton	fn is_match(&self, sid: StateID) -> bool	
aho_corasick::nfa::noncontiguous::NFA	is_special	aho_corasick::automaton::Automaton	fn is_special(&self, sid: StateID) -> bool	
aho_corasick::nfa::noncontiguous::NFA	is_start	aho_corasick::automaton::Automaton	fn is_start(&self, sid: StateID) -> bool	
aho_corasick::nfa::noncontiguous::NFA	match_kind	aho_corasick::automaton::Automaton	fn match_kind(&self) -> MatchKind	
aho_corasick::nfa::noncontiguous::NFA	match_len	aho_corasick::automaton::Automaton	fn match_len(&self, sid: StateID) -> usize	
